1,2,3,4,5,6,7,8,9,10
-190.3441575,-36.75866396,-123.925547,-120.0106683,-39.91751359,-188.551364,-0.080518757,-191.9914631,-33.7016566,-127.8018965
391.04419,72.31765218,259.7829312,238.247752,89.87022886,380.720297,1.185963013,399.2154828,56.30025948,280.6842517
124.2487602,21.98721265,84.165219,73.07384997,31.11583944,118.6982886,0.990098144,127.9942445,14.16895142,94.67272809
105.3471587,17.82413124,72.71463637,59.74381025,28.60036845,98.58878757,1.597027699,109.1816823,9.206835561,84.65670741
-374.2409137,-60.48917795,-263.0395237,-204.4291154,-109.626289,-342.5192125,-9.179060423,-389.0881208,-24.01548192,-315.2444048
173.0577866,26.69786872,123.780767,90.95200389,54.46209223,154.6413285,6.22755963,179.9798597,7.694040698,151.9346025
-597.1977314,-87.85460068,-434.4129442,-301.6220746,-201.1104182,-520.1381891,-29.52692909,-619.5471636,-16.91666351,-543.5036063
-231.5910253,-32.45738456,-171.2251449,-112.271508,-83.14869412,-196.2664088,-15.0071934,-239.0045069,-3.662224341,-217.3663542
-164.3311868,-21.91912469,-123.4165944,-76.3718393,-62.68886975,-135.274477,-13.46797908,-168.2483492,-1.139306904,-158.2873757
-77.46375745,-9.823343901,-59.06278879,-34.46847133,-31.29880363,-61.83050419,-7.808560685,-78.47010953,-0.129696696,-76.21445908
77.59135236,9.344511387,60.02771135,33.01205089,33.1066115,59.9445389,9.406279021,77.55842837,0.000115241,77.62405975
174.8590852,19.97634794,137.1885383,71.03751448,78.57011004,130.5164857,25.02562532,172.0094254,0.324489836,177.0968359
-58.37639116,-6.318694964,-46.4229405,-22.61305279,-27.55138641,-42.01913502,-9.711301808,-56.36220072,-0.417756879,-59.6002861
243.5984714,24.95044145,196.2531239,89.84137335,120.4630261,168.7678773,46.48412034,230.2219355,3.849308302,249.6706539
419.594846,40.61347881,342.2989535,147.110151,216.9095415,279.2555947,90.79870502,387.1252874,11.61109333,429.9660805
-29.31493811,-2.677672936,-24.20417513,-9.754700764,-15.80730939,-18.70442137,-7.122215594,-26.33157812,-1.249672474,-29.91310021
-97.84822966,-8.421876738,-81.72935397,-30.85038664,-54.92164995,-59.72992388,-26.45596476,-85.33169233,-5.921678085,-99.03109447
58.78533281,4.760307671,49.65019677,17.53052874,34.27899524,34.25798446,17.54983811,49.63415244,4.771787731,58.77934665
78.47878817,5.969143057,66.99451861,22.09503878,47.45354188,43.56479826,25.68800227,63.97061819,8.193980746,77.22223567
147.3256062,10.506845,127.0612346,39.08354554,92.21021446,77.72340929,52.5371928,115.6002213,19.15785737,142.1015605
196.6627214,13.12636572,171.2861168,49.05943334,127.1949593,98.36579112,75.96438224,148.1011734,31.04381133,185.2086837
9.844140398,0.613721521,8.654959112,2.304224443,6.568527,4.656509555,4.097039377,7.093117658,1.847218301,9.01588922
492.7362466,28.63291661,437.134273,107.9729151,338.6666991,219.8461111,219.8888355,338.6264573,108.0083357,437.1057318
-404.4606754,-21.85794103,-361.9260444,-82.77059744,-285.927216,-169.7484546,-192.6708041,-264.2436405,-102.0435711,-346.1052264
-1026.964015,-51.49033785,-926.5649824,-195.7642172,-745.6499182,-404.2496735,-520.0471981,-635.6582967,-294.4351309,-844.1619786
108.7240893,5.044444832,98.86924547,19.25245483,80.96727481,40.01779281,58.30201379,63.53138234,35.03104998,85.48002323
1009.08209,43.20418638,924.5235188,165.4967388,769.7329816,346.1578523,570.9363575,554.5784431,361.8153972,755.4461893
-99.01519373,-3.900431327,-91.36797785,-14.99319072,-77.2666437,-31.54761634,-58.91124269,-50.98093218,-39.16553408,-70.26120566
-545.0327264,-19.68964857,-506.3647301,-75.93908693,-434.5658959,-160.6935393,-339.9176331,-261.8163846,-235.9733312,-364.82709
456.2034369,15.06091426,426.5788233,58.27121235,371.2093679,123.9718804,297.3465022,203.5584651,214.6636375,286.6079515
-99.24864268,-2.982847772,-93.37259452,-11.57549585,-82.32159248,-24.7527218,-67.41417483,-40.94229924,-50.42900389,-58.21258639
129.1145087,3.517839101,122.1746772,13.69058127,109.0461898,29.41711665,91.15008978,48.99518613,70.42347263,70.30563593
-99.38533651,-2.44354153,-94.55833168,-9.535330313,-85.37612149,-20.58220313,-72.73619042,-34.50442029,-57.87398633,-49.94120114
387.8477422,8.561521159,370.9136907,33.49429341,338.5325747,72.60895822,293.5477953,122.4708384,239.9094874,178.7015385
218.9160722,4.314349339,210.3723998,16.91896808,193.9552438,36.8251157,170.9524105,62.47129994,143.1683046,91.84576446
-408.2078115,-7.137417861,-394.0577719,-28.05266916,-366.7430072,-61.289355,-328.1655359,-104.5330938,-281.0116363,-154.7726793
129.4993822,1.994759811,125.5405891,7.856606423,117.8659827,17.22575596,106.9466089,29.52715602,93.4526687,44.0057808
478.3844894,6.440293477,465.5906055,25.41552907,440.689474,55.90732274,405.0175166,96.27920697,360.4892156,144.3644586
618.1927144,7.208069509,603.8606208,28.49707632,575.8629286,62.87700339,535.5016334,108.7490578,484.6536837,163.9800205
109.7251694,1.096575947,107.5429765,4.342577286,103.2656067,9.608568126,97.06362227,16.68456451,89.18433033,25.28840762
1137.58814,9.627030598,1118.415549,38.1829304,1080.717999,84.7031081,1025.768878,147.6161561,955.4243154,224.796931
638.8696521,4.513406069,629.8747257,17.92630656,612.1386089,39.86033981,586.161616,69.69677333,552.6765265,106.5939575
1857.303854,10.76895282,1835.828388,42.82641267,1793.374808,95.42995962,1730.926298,167.3613461,1649.929105,256.9547104
1628.100458,7.589313934,1612.957207,30.21591172,1582.952735,67.45839372,1538.645847,118.6231528,1480.861719,182.7572924
